"";"uf";"codUf";"codIbge";"nomeMun"
"116";"AL";"27";"2708105";"SANTANA DO MUNDAU"
"117";"AL";"27";"2708204";"SAO BRAS"
"118";"AL";"27";"2708303";"SAO JOSE DA LAJE"
"119";"AL";"27";"2708402";"SAO JOSE DA TAPERA"
"120";"AL";"27";"2708501";"SAO LUIS DO QUITUNDE"
"121";"AL";"27";"2708600";"SAO MIGUEL DOS CAMPOS"
"122";"AL";"27";"2708709";"SAO MIGUEL DOS MILAGRES"
"123";"AL";"27";"2708808";"SAO SEBASTIAO"
"124";"AL";"27";"2708907";"SATUBA"
"125";"AL";"27";"2708956";"SENADOR RUI PALMEIRA"
"126";"AL";"27";"2709004";"TANQUE D ARCA"
"127";"AL";"27";"2709004";"TANQUE D'ARCA"
"128";"AL";"27";"2709004";"TANQUE DARCA"
"129";"AL";"27";"2709103";"TAQUARANA"
"130";"AL";"27";"2709152";"TEOTONIO VILELA"
"131";"AL";"27";"2709202";"TRAIPU"
"132";"AL";"27";"2709301";"UNIAO DOS PALMARES"
"133";"AL";"27";"2709400";"VICOSA"
"134";"AM";"13";"1300029";"ALVARAES"
"135";"AM";"13";"1300060";"AMATURA"
"136";"AM";"13";"1300086";"ANAMA"
"137";"AM";"13";"1300102";"ANORI"
"138";"AM";"13";"1300144";"APUI"
"139";"AM";"13";"1300201";"ATALAIA DO NORTE"
"140";"AM";"13";"1300300";"AUTAZES"
"141";"AM";"13";"1300409";"BARCELOS"
"142";"AM";"13";"1300508";"BARREIRINHA"
"143";"AM";"13";"1300607";"BENJAMIN CONSTANT"
"144";"AM";"13";"1300631";"BERURI"
"145";"AM";"13";"1300680";"BOA VISTA DO RAMOS"
"146";"AM";"13";"1300706";"BOCA DO ACRE"
"147";"AM";"13";"1300805";"BORBA"
"148";"AM";"13";"1300839";"CAAPIRANGA"
"149";"AM";"13";"1300904";"CANUTAMA"
"150";"AM";"13";"1301001";"CARAUARI"
"151";"AM";"13";"1301100";"CAREIRO"
"152";"AM";"13";"1301159";"CAREIRO DA VARZEA"
"153";"AM";"13";"1301209";"COARI"
"154";"AM";"13";"1301308";"CODAJAS"
"155";"AM";"13";"1301407";"EIRUNEPE"
"156";"AM";"13";"1301506";"ENVIRA"
"157";"AM";"13";"1301605";"FONTE BOA"
"158";"AM";"13";"1301654";"GUAJARA"
"159";"AM";"13";"1301704";"HUMAITA"
"160";"AM";"13";"1301803";"IPIXUNA"
"161";"AM";"13";"1301852";"IRANDUBA"
"162";"AM";"13";"1301902";"ITACOATIARA"
"163";"AM";"13";"1301951";"ITAMARATI"
"164";"AM";"13";"1302009";"ITAPIRANGA"
"165";"AM";"13";"1302108";"JAPURA"
"166";"AM";"13";"1302207";"JURUA"
"167";"AM";"13";"1302306";"JUTAI"
"168";"AM";"13";"1302405";"LABREA"
